n_cpgs	n_frags_fraction	cum_fraction
0	0	0
1	0.07166432305431837	0.07166432305431837
2	0.1122325202299275	0.18389684328424585
3	0.13803040517926923	0.3219272484635151
4	0.1358494984084638	0.4577767468719789
5	0.11193887832152451	0.5697156251935034
6	0.08791680237022442	0.6576324275637279
7	0.06714579521560825	0.7247782227793361
8	0.05057212953571269	0.7753503523150488
9	0.03833719692494774	0.8136875492399965
10	0.02975266978295389	0.8434402190229504
11	0.0238496658061632	0.8672898848291136
12	0.01983494533452423	0.8871248301636379
13	0.016911219638419666	0.9040360498020575
14	0.014639776401195632	0.9186758262032532
15	0.012782695715829153	0.9314585219190823
16	0.011140274479864203	0.9425987963989465
17	0.00964284781469253	0.952241644213639
18	0.008323785555541405	0.9605654297691805
19	0.007035620745629452	0.9676010505148098
20	0.005972026025342601	0.9735730765401525
21	0.004973578207036102	0.9785466547471886
22	0.004110156102481997	0.9826568108496706
23	0.003405298098529537	0.9860621089482001
24	0.0027872431676255957	0.9888493521158257
25	0.0022736786740973113	0.991123030789923
26	0.0018227290450358714	0.9929457598349589
27	0.001448085255259031	0.9943938450902179
28	0.0011670614429169941	0.9955609065331349
29	9.169621169892641e-4	0.9964778686501242
30	7.283981286171541e-4	0.9972062667787414
31	5.762343618745885e-4	0.997782501140616
32	4.5740502742144806e-4	0.9982399061680374
33	3.59325007275867e-4	0.9985992311753132
34	2.861845179904961e-4	0.9988854156933037
35	2.2828762037749184e-4	0.9991137033136812
36	1.8399836326964486e-4	0.9992977016769509
37	1.455913083260889e-4	0.999443292985277
38	1.1570363089458035e-4	0.9995589966161715
39	9.283276724667194e-5	0.9996518293834182
40	7.598587917168291e-5	0.9997278152625899
41	6.057612405302904e-5	0.9997883913866429
42	4.798821748359308e-5	0.9998363796041265
43	3.823634488710039e-5	0.9998746159490136
44	2.9779811631158197e-5	0.9999043957606448
45	2.3457982574318952e-5	0.9999278537432191
46	1.811314931761818e-5	0.9999459668925367
47	1.3704170090821083e-5	0.9999596710626275
48	1.0353197153784894e-5	0.9999700242597813
49	7.911829150613585e-6	0.9999779360889319
50	5.749986740594471e-6	0.9999836860756726
51	4.463053577066399e-6	0.9999881491292496
52	3.2463604888507694e-6	0.9999913954897385
53	2.4753968543871185e-6	0.9999938708865929
54	1.803104764155533e-6	0.999995673991357
55	1.262543125869235e-6	0.9999969365344828
56	9.482410167179853e-7	0.9999978847754996
57	6.698672314751143e-7	0.999998554642731
58	4.685433332191094e-7	0.9999990231860643
59	3.969695855906069e-7	0.9999994201556499
60	2.0722438789675103e-7	0.9999996273800378
61	1.286589641870906e-7	0.9999997560390019
62	8.018199621397447e-8	0.9999998362209982
63	5.300337098519532e-8	0.9999998892243691
64	3.8373389821153606e-8	0.9999999275977589
65	2.3197815436905918e-8	0.9999999507955744
66	1.8146026360924664e-8	0.9999999689416008
67	1.1740357812580434e-8	0.9999999806819586
68	9.214463274589807e-9	0.9999999898964218
69	6.60774011138348e-9	0.9999999965041619
70	2.505687381686702e-9	0.9999999990098494
71	8.284934084609256e-10	0.9999999998383428
72	1.0103578151962508e-10	0.9999999999393785
73	4.0414312607850035e-11	0.9999999999797928
86	2.0207156303925018e-11	1
